play_type,wp,wpa,off_score,def_score,down,yards_to_go,yardline,yardline_text,quarter,seconds_left,week,home_team,away_team,offense_team,defense_team,offense_team_abbrev,defense_team_abbrev,offense_won,season_year,play_result,description,player_ids_string
Rush,95.6709988639,0.042543333124499996,28,12,1,10,-23,Own 27,Q4,580,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(9:40) T.Coleman right end to ATL 35 for 8 yards (P.Chung).,"00-0032058,00-0027010"
Rush,98.100997751,-0.0754792679856,21,3,1,10,22,Opp 28,Q3,666,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(11:06) T.Coleman left end pushed ob at NE 28 for no gain (P.Chung).,"00-0032058,00-0027010"
Pass,4.296575298860001,-0.627566742807,0,21,2,15,30,Opp 20,Q2,12,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(:12) (Shotgun) T.Brady pass short left to M.Bennett to ATL 23 for -3 yards (D.Olatoye; G.Jarrett).,"00-0031583,00-0030699,00-0019596,00-0026201"
Rush,10.8656901843,-0.8457801749470001,0,14,2,6,27,Opp 23,Q2,203,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(3:23) D.Lewis left guard to ATL 23 for no gain (G.Jarrett).,"00-0031583,00-0028087"
Pass,19.5867276142,-2.89886309342,20,28,1,10,-41,Own 9,Q4,210,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(3:30) (Shotgun) T.Brady pass incomplete short right to J.White [G.Jarrett].,"00-0031583,00-0019596,00-0031062"
Pass,5.543705205869999,-1.21121495054,9,28,3,10,40,Opp 10,Q4,625,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Sack,(10:25) (Shotgun) T.Brady sacked at ATL 15 for -5 yards (G.Jarrett).,"00-0031583,00-0019596"
Pass,45.7879772848,-2.84820002249,0,0,3,18,2,Opp 48,Q1,348,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Sack,(5:48) (Shotgun) T.Brady sacked at ATL 49 for -1 yards (G.Jarrett).,"00-0031583,00-0019596"
Pass,6.5335332641,-0.9898280582250001,9,28,1,7,43,Opp 7,Q4,708,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Sack,(11:48) (Shotgun) T.Brady sacked at ATL 12 for -5 yards (G.Jarrett).,"00-0031583,00-0019596"
Rush,95.713542197,-0.042543333124499996,28,12,2,2,-15,Own 35,Q4,540,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(9:00) T.Coleman up the middle to ATL 36 for 1 yard (T.Flowers; L.Ryan). ATL-T.Coleman was injured during the play.,"00-0031566,00-0032058,00-0030411"
Rush,60.6523094614,0,0,0,1,10,-5,Own 45,Q1,775,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"(12:55) D.Freeman left end to ATL 48 for 3 yards (T.Flowers, M.Brown).","00-0031566,00-0031285,00-0032261"
