"date","team.type","team","ML","opp","prob.open","prob.tobeat","prob.sim","units","towin","won","profit","profit.cum","prob.close","delta.price","delta.cumsum"
4042017,"Away","Yankees",104,"Rays",0.480248917748918,0.490196078431373,0.5243,0.836,0.869,TRUE,0.869,0.869,0.509803921568627,0.0196078431372549,0.0196078431372549
4042017,"Home","Rangers",126,"Indians",0.433573597746149,0.442477876106195,0.4437,0.027,0.034,FALSE,-0.027,0.842,0.396825396825397,-0.0456524792807979,-0.026044636143543
4042017,"Home","Astros",-146,"Mariners",0.582413851638092,0.59349593495935,0.6133,0.609,0.417,TRUE,0.417,1.259,0.615384615384615,0.0218886804252658,-0.0041559557182772
4042017,"Home","Cardinals",124,"Cubs",0.438070989965553,0.446428571428571,0.46635,0.45,0.558,FALSE,-0.45,0.809,0.434782608695652,-0.0116459627329193,-0.0158019184511965
4042017,"Home","Diamondbacks",133,"Giants",0.421038100496963,0.429184549356223,0.4962,1,1.33,FALSE,-1,-0.191,0.452488687782805,0.0233041384265822,0.00750221997538575
4042017,"Home","Athletics",-105,"Angels",0.502356823002592,0.51219512195122,0.5281,0.408,0.389,FALSE,-0.408,-0.599,0.483091787439614,-0.029103334511606,-0.0216011145362203
4042017,"Away","Padres",203,"Dodgers",0.32372871131844,0.33003300330033,0.37355,0.812,1.648,TRUE,1.648,1.049,0.328947368421053,-0.00108563487927738,-0.0226867494154976
4052017,"Home","Twins",104,"Royals",0.480248917748918,0.490196078431373,0.542769230769231,1,1.04,TRUE,1.04,2.089,0.521531100478469,0.0313350220470963,0.00864827263159867
4052017,"Home","Orioles",101,"Blue Jays",0.488215094956668,0.497512437810945,0.534384615384615,0.917,0.926,TRUE,0.926,3.015,0.530516431924883,0.0330039941139373,0.041652266745536
4052017,"Away","Marlins",147,"Nationals",0.396825396825397,0.404858299595142,0.412769230769231,0.166,0.244,FALSE,-0.166,2.849,0.411522633744856,0.00666433414971429,0.0483166008952503
4052017,"Home","Reds",-104,"Phillies",0.5,0.509803921568627,0.522615384615385,0.327,0.314,TRUE,0.314,3.163,0.507389162561576,-0.00241475900705101,0.0459018418881993
4052017,"Home","Mets",-195,"Braves",0.648411894404386,0.661016949152542,0.664692307692308,0.136,0.07,FALSE,-0.136,3.027,0.666666666666667,0.00564971751412424,0.0515515594023235
4052017,"Home","Rays",111,"Yankees",0.464919695688926,0.4739336492891,0.484,0.239,0.265,TRUE,0.265,3.292,0.454545454545455,-0.019388194743645,0.0321633646586785
4052017,"Away","Pirates",174,"Red Sox",0.357759684184555,0.364963503649635,0.421692307692308,1,1.74,FALSE,-1,2.292,0.40650406504065,0.0415405613910154,0.0737039260496939
4052017,"Home","Rangers",-105,"Indians",0.502356823002592,0.51219512195122,0.512538461538461,0.009,0.009,FALSE,-0.009,2.283,0.490196078431373,-0.021999043519847,0.0517048825298469
4052017,"Home","Astros",-109,"Mariners",0.511784905043332,0.521531100478469,0.568538461538462,1,0.917,TRUE,0.917,3.2,0.521531100478469,0,0.0517048825298469
4052017,"Home","Diamondbacks",103,"Giants",0.483578942543488,0.492610837438424,0.494538461538462,0.047,0.048,TRUE,0.048,3.248,0.5260663507109,0.0334555132724768,0.0851603958023237
4052017,"Home","Athletics",104,"Angels",0.480248917748918,0.490196078431373,0.494769230769231,0.112,0.116,FALSE,-0.112,3.136,0.497512437810945,0.00731635937957276,0.0924767551818965
4052017,"Away","Padres",228,"Dodgers",0.299145299145299,0.304878048780488,0.356,0.919,2.095,FALSE,-0.919,2.217,0.309597523219814,0.00471947443932647,0.0971962296212229
4062017,"Away","Phillies",-101,"Reds",0.492926863771396,0.502487562189055,0.502769230769231,0.007,0.007,FALSE,-0.007,2.21,0.465116279069767,-0.0373712831192873,0.0598249465019356
4062017,"Home","Twins",-119,"Royals",0.532949456174024,0.54337899543379,0.551,0.209,0.176,TRUE,0.176,2.386,0.509803921568627,-0.0335750738651626,0.026249872636773
4062017,"Away","Rockies",111,"Brewers",0.464919695688926,0.4739336492891,0.503461538461538,0.702,0.779,TRUE,0.779,3.165,0.51219512195122,0.03826147266212,0.064511345298893
4062017,"Home","Cardinals",105,"Cubs",0.476982806433722,0.48780487804878,0.509153846153846,0.521,0.547,FALSE,-0.521,2.644,0.467289719626168,-0.0205151584226123,0.0439961868762808
4062017,"Home","White Sox",114,"Tigers",0.458640121755584,0.467289719626168,0.507692307692308,0.948,1.081,TRUE,1.081,3.725,0.480769230769231,0.0134795111430626,0.0574756980193433
4062017,"Home","Athletics",-101,"Angels",0.492926863771396,0.502487562189055,0.515846153846154,0.336,0.333,TRUE,0.333,4.058,0.532710280373832,0.030222718184777,0.0876984162041203
4062017,"Away","Braves",139,"Mets",0.410204448511987,0.418410041841004,0.461384615384615,0.924,1.284,FALSE,-0.924,3.134,0.423728813559322,0.00531877171831785,0.0930171879224381
4062017,"Home","Astros",-163,"Mariners",0.607755406413125,0.619771863117871,0.623384615384615,0.119,0.073,FALSE,-0.119,3.015,0.610894941634241,-0.0088769214836294,0.0841402664388087
4062017,"Home","Diamondbacks",-103,"Giants",0.497643176997407,0.507389162561576,0.539846153846154,0.824,0.8,TRUE,0.8,3.815,0.523809523809524,0.0164203612479474,0.100560627686756
4072017,"Away","Braves",137,"Pirates",0.413531961536545,0.421940928270042,0.471076923076923,1,1.37,FALSE,-1,2.815,0.43859649122807,0.0166555629580279,0.117216190644784
4072017,"Home","Tigers",-115,"Red Sox",0.524231024562956,0.534883720930233,0.562,0.729,0.634,TRUE,0.634,3.449,0.559471365638767,0.024587644708534,0.141803835353318
4072017,"Home","Phillies",148,"Nationals",0.395286848003877,0.403225806451613,0.433615384615385,0.637,0.943,FALSE,-0.637,2.812,0.393700787401575,-0.00952501905003805,0.13227881630328
