Quarter,Time,Down,ToGo,Location,Detail,NWE,ATL,EPB,EPA,Win%
2,9:00,2,9,NWE 19,Matt Ryan pass incomplete deep right intended for Austin Hooper (defended by Patrick Chung),0,7,3.82,3.1,77.4
2,8:55,3,9,NWE 19,Matt Ryan pass complete deep left to Austin Hooper for 19 yards touchdown. Penalty on Patrick Chung: Defensive Pass Interference (Declined),0,13,3.1,7,84.6
2,8:48,,,NWE 15,Penalty on Shea McClellin: Illegal Formation 5 yards (no play),0,13,0,0,84.6
2,8:48,,,NWE 10,Matt Bryant kicks extra point good,0,14,0,0,86.7
2,8:48,,,ATL 35,Matthew Bosher kicks off 65 yards touchback,0,14,0,-0.61,85.5
2,8:48,1,10,NWE 25,Tom Brady pass complete short middle to Martellus Bennett for 12 yards (tackle by Jalen Collins and Keanu Neal),0,14,0.61,1.4,83.8
2,8:12,1,10,NWE 37,Tom Brady pass incomplete short middle intended for Julian Edelman,0,14,1.4,0.86,85.2
2,8:07,2,10,NWE 37,Tom Brady pass incomplete deep middle intended for Danny Amendola,0,14,0.86,0.17,86.7
2,8:02,3,10,NWE 37,Tom Brady pass complete short right to James White for 8 yards (tackle by Deion Jones and De'Vondre Campbell). Penalty on Robert Alford: Defensive Holding 5 yards (no play),0,14,0.17,1.73,83.3
2,7:34,1,10,NWE 42,LeGarrette Blount left tackle for no gain (tackle by Joe Vellano and Jonathan Babineaux),0,14,1.73,1.19,84.8
2,6:53,2,10,NWE 42,James White right end for 7 yards (tackle by Robert Alford),0,14,1.19,1.42,84.5
2,6:10,3,3,NWE 49,Tom Brady pass incomplete deep right intended for Julian Edelman. Penalty on Brian Poole: Defensive Holding 5 yards (no play),0,14,1.42,2.52,82.3
2,6:01,1,10,ATL 46,LeGarrette Blount right end for 1 yard (tackle by Tyson Jackson),0,14,2.52,2.11,83.3
2,5:20,2,9,ATL 45,Tom Brady pass incomplete short right intended for Dion Lewis,0,14,2.11,1.42,85.2
2,5:16,,,,Timeout #1 by Atlanta Falcons,0,14,0,0,
2,5:16,3,9,ATL 45,Tom Brady pass incomplete short middle intended for Julian Edelman. Penalty on Brian Poole: Defensive Holding 5 yards (no play),0,14,1.42,2.92,81.7
2,5:12,1,10,ATL 40,LeGarrette Blount middle for no gain (tackle by Ra'Shede Hageman),0,14,2.92,2.37,83.1
2,4:36,2,10,ATL 40,Tom Brady pass complete short middle to Martellus Bennett for 13 yards (tackle by Ayodeji Olatoye),0,14,2.37,3.78,79.7
2,3:59,1,10,ATL 27,Dion Lewis right guard for 4 yards (tackle by De'Vondre Campbell),0,14,3.78,3.77,80.0
2,3:23,2,6,ATL 23,Dion Lewis left guard for no gain (tackle by Grady Jarrett),0,14,3.77,3.07,82.2
2,2:36,3,6,ATL 23,Tom Brady pass incomplete short left intended for Danny Amendola is intercepted by Robert Alford at ATL-18 and returned for 82 yards touchdown,0,20,3.07,-7,96.8
2,,,,,Matt Bryant kicks extra point good,0,21,0,0,97.4
2,2:21,,,ATL 35,Matthew Bosher kicks off 65 yards touchback,0,21,0,-0.61,97.1
2,2:21,1,10,NWE 25,James White right guard for 3 yards (tackle by Ra'Shede Hageman and Robert Alford),0,21,0.61,0.47,97.2
2,2:00,2,7,NWE 28,Tom Brady pass complete short left to Martellus Bennett for 15 yards (tackle by Keanu Neal and Ricardo Allen),0,21,0.47,1.8,96.3
2,1:43,,,,Timeout #2 by Atlanta Falcons,0,21,0,0,
